Video Time,Commenter,Time,Comment
,Md Imran,,জয় বাংলা জয় বঙ্গবন্ধু শেখ হাসিনা সরকার বার বার বার দরকার
,md Arfat,,
,স্নেহা এন্টারপ্রাইজ,,শুধু শুধু কথার ফুলঝুরি
,Farhan Monsur,,লীগে
,Nure Jannat,,নাগরিক ছাএ অধিকার চাই
,Mehedhi Hasan,,"আলুর দাম কমান, খালি শহীদ শহীদ করলে হবে না, ১৯৭১ সালে ও ৩০ লাখ শহীদ হয়েছিল"
,Rafi Ahmed,,সোহেল তাজকে উপদেষ্টা হিসেবে চাই।
,Md Rana,,
,Hudashamsul Shamsul,,ডক্টর ইউনুস জিন্দাবাদ
,Tfdd Gfff,,
,Zakaria Khan,,We are with you
,Babul Hossain,,ধন্যবাদ যমুনা টিভিকে
,Md Sumon Sarkar Bappy,,সাধারণ মানুষ বিপদগ্রস্ত হচ্ছে হটাও ইউনুস বাছাও দেশ
,Md Abid Hasan Zidan,,joy bangla ]
,Omar Faruq,,বাকশাল নিপাত যাক
,Miazi Media,,hahahaha pagol
,Me Djnj,,ভাষন না দিয়ে জিনিস পত্রের দাম কমান।
,টুকিটাকি বিনোদন,,জয় বাংলা জয় বঙ্গবন্ধু
,shuvo das,,পুলিশ হত্যার বিচার কে করবে?
,MD Rahim,,মিটার ভাড়া মওকুফ করেন
,বেদ প্রচার সংঘ,,এই হত্যার মাস্টার মাইন্ড তোমারই।
,Md Muzahid ul islam,,ফারুকীকে উপদেষ্টা থেকে বাদ দেয়া হোক
,Md Liton,,"হাসিনার বিচারের কি হবে জানতে চাই,"
,jiyan psyco Riko,,"আওয়ামী দোসরদের প্রশাসন থেকে বিদায় করেন,,"
,M.A. Aziz,,খয় বাঙলার আর দরকার নাই ।
,Babul Houqe,,আলহামদুলিল্লাহ
,Ahsan Ullah Hassan,,জয়বাংলা জয়বঙ্গবন্ধু শেখ হাসিনা’র জয়।
,SARA RAHMAN,,সমকামি ইউনিস
,Md Hsn,,আমাদের দাবি শেখ হাসিনাকে বাংলাদেশের আইনের আওতায় আনার জন্য অনুরোধ করা হলো আয়নার মুখোমুখি আয়না তার দিতে হবেই
,World Sports,,জয় লীগ
,Joshim বেয়াদবের মতো কথা বলেছেন মিঃ হুদা।Uddin,,জয় বাংলা জয় বঙ্গ বন্ধু। জয় শেখ হাসিনার।
,Md. Fazlul Haque,,বাংলাদেশ জামাত ইসলামি জিন্দাবাদ
,Rana khan,,"প্রাবাসি দের পক্ষ থেকে ধন্যবাদ ,"
,Fazlul Haque,,তোমার বিচার হবে ইনশাআল্লাহ
,Jennie's boyfriend,,bnp faw dol
,Muhammad Junayed Hussain,,আমিই ভালো কোন দল করি নাহ
,Sahabuddin,,ইনশাআল্লাহ ভালো কিছু দেখার জন্য অপেক্ষায় আছি
,Siam tv,,পুলিশ মারার বিচার কে করবে?
,Sk Hobi607,,জয় হবে মানবতা
,Lovelu Hosen,,আল্লাহ বাংলাদেশের প্রতি সহায় হোউন। বাংলাদেশের মানুষের প্রতি সহায় হোউন। আমিন
,Delowar Hossain,,"নির্বাচন দাও তাড়াতাড়ি, না হয়। দেশের অবস্তা আরো খারাপ হবে, হয়ত"
